ID,대분류,중분류(화면),소분류(기능),시나리오,사전조건,테스트절차,기대결과,유형,우선순위,결과,비고
FE-ON-001,온보딩·권한,로그인,화면 진입/초기 렌더링,비로그인 상태에서 로그인 화면 진입 및 초기 UI 렌더링,비로그인 상태(토큰 없음)로 앱 실행,1. 앱을 비로그인 상태로 실행한다. 2. 온보딩 로그인 화면 진입을 확인한다.,중앙 로고(slugWithTitle) 이미지와 하단 소셜 로그인 버튼 영역이 정상 표시된다.,정상,P0,,
FE-ON-002,온보딩·권한,로그인,로그인 버튼 목록,소셜 로그인 버튼 4종이 정의된 순서대로 노출,로그인 화면 진입,1. 로그인 화면 하단 버튼 영역을 확인한다.,Apple로 로그인 / 구글로 로그인 / 카카오로 로그인 / 네이버로 로그인 버튼이 OauthProvider.allCases 순서(apple→google→kakao→naver)로 4개 모두 노출된다.,정상,P1,,
FE-ON-004,온보딩·권한,로그인,Apple 로그인,Apple 로그인 버튼 탭 시 Apple 인증 시트 표시,로그인 화면 진입,1. 'Apple로 로그인' 버튼을 탭한다.,시스템 Apple ID 인증 시트가 표시된다.,정상,P0,,
FE-ON-005,온보딩·권한,로그인,Apple 로그인,Apple 인증 성공 시 로딩 표시 후 다음 단계 전환,Apple 인증 시트 표시 상태,1. Apple ID로 인증을 완료한다. 2. 토큰 획득 후 서버 인증 진행을 관찰한다.,"서버 인증 동안 전체화면 로딩이 노출되고, 성공 시 onComplete 콜백으로 다음 화면(권한/메인)으로 전환된다.",정상,P0,,서버 인증 응답값 정확성은 데이터파트 연계
FE-ON-006,온보딩·권한,로그인,Apple 로그인,Apple 인증 사용자 취소 시 화면 유지,Apple 인증 시트 표시 상태,1. Apple 인증 시트에서 취소(또는 시트 닫기)한다.,에러 알럿과 로딩이 표시되지 않고 로그인 화면이 그대로 유지된다.,예외,P1,,취소코드 1001은 continuation 미resume 처리
FE-ON-008,온보딩·권한,로그인,Google 로그인,구글 로그인 버튼 탭 시 구글 로그인 진행,로그인 화면 진입,1. '구글로 로그인' 버튼을 탭한다.,구글 로그인 화면/시트가 표시된다.,정상,P0,,
FE-ON-011,온보딩·권한,로그인,Kakao 로그인,카카오톡 설치 여부에 따른 로그인 경로 분기,로그인 화면 진입,1. 카카오톡 설치 단말에서 '카카오로 로그인' 탭. 2. 카카오톡 미설치 단말에서 동일하게 탭.,"설치 시 카카오톡 앱으로 전환되어 로그인, 미설치 시 카카오계정 웹 로그인 화면이 표시된다.",정상,P0,,
FE-ON-014,온보딩·권한,로그인,Naver 로그인,네이버 로그인 버튼 탭 시 네이버 로그인 진행,로그인 화면 진입,1. '네이버로 로그인' 버튼을 탭한다.,네이버 로그인 화면/앱 전환이 진행된다.,정상,P0,,
FE-ON-019,온보딩·권한,로그인,에러 처리,네트워크 끊김 상태에서 서버 인증 실패 시 에러 알럿,기내모드/네트워크 차단,1. 네트워크를 차단한다. 2. 소셜 로그인으로 OAuth 인증까지 성공시킨다. 3. 서버 인증 단계로 진입한다.,로딩 해제 후 '에러' 알럿이 노출되고 확인 시 닫히며 로그인 화면이 유지된다.,예외,P1,,
FE-ON-025,온보딩·권한,로그인,전환,로그인 성공 시 onComplete 콜백으로 다음 플로우 전환,서버 인증 성공,1. 소셜 로그인 전체 흐름을 성공시킨다.,onComplete 콜백이 호출되어 온보딩 다음 단계(권한/메인)로 전환된다.,정상,P0,,
FE-ON-027,온보딩·권한,접근 권한 허용,화면 진입/렌더링,permissionRequest 라우트 진입 시 전체 UI 렌더링,OnboardingFactory를 통해 .permissionRequest 라우트로 진입,1. 권한 요청 화면으로 진입한다.,"'앱 사용을 위해 접근 권한을 허용해주세요.' 타이틀, '선택 권한' 라벨, 권한 항목, 하단 안내 박스, '확인' 버튼이 정상 표시된다.",정상,P0,,
FE-ON-030,온보딩·권한,접근 권한 허용,확인 버튼/권한 요청,확인 탭 시 알림·위치 시스템 권한 팝업 노출 후 이전 화면 복귀,"권한 요청 화면 진입, 권한 미결정 상태",1. '확인' 버튼을 탭한다.,"알림 권한 요청 시스템 팝업과 위치 권한 요청 팝업이 노출되고, 이후 coordinator.pop()으로 이전 화면으로 복귀한다.",정상,P0,,
FE-ON-031,온보딩·권한,접근 권한 허용,확인 버튼/권한 요청,알림 권한 거부 시에도 화면 정상 복귀,권한 요청 화면 진입,1. '확인' 탭 후 알림 권한 팝업에서 '허용 안 함'을 선택한다.,앱이 크래시 없이 정상적으로 이전 화면으로 pop되고 다른 기능 이용이 가능하다.,예외,P1,,권한 거부 처리
FE-ON-034,온보딩·권한,접근 권한 허용,네비게이션,확인 후 pop으로 이전 화면 복귀,권한 요청 화면이 push되어 표시된 상태,1. '확인'을 탭한다.,coordinator.pop()이 실행되어 직전 화면으로 정상 복귀한다.,정상,P0,,
FE-SP-001,스플래시,스플래시 화면,스플래시 이미지 렌더링,앱 실행 시 스플래시 이미지가 전체화면으로 표시된다,앱이 정상 설치되어 실행 가능한 상태,1. 앱을 실행한다 2. 첫 화면(스플래시)을 확인한다,"Asset.splash 이미지가 화면 전체에 표시되고, 깨짐이나 빈 영역 없이 정상 렌더링된다",정상,P0,,
FE-SP-005,스플래시,스플래시 화면,앱 최초 실행 판별,앱 최초 설치 후 첫 실행 시 첫 실행 플래그가 초기화되고 스플래시가 정상 종료된다,앱을 처음 설치하여 로컬스토리지에 isAppFirst 값이 없는 상태,1. 앱을 최초 실행한다 2. 스플래시가 표시된 후 다음 화면으로 전환되는지 확인한다,"isAppFirst 키가 없으므로 storage에 false가 저장되고, 콜백이 호출되어 스플래시가 멈추지 않고 다음 화면으로 정상 전환된다",정상,P1,,
FE-SP-007,스플래시,스플래시 화면,자동 로그인 상태 판별,유효한 토큰 보유 상태로 실행 시 로그인된 상태로 전환된다,로컬스토리지에 만료되지 않은 유효한 signInTokenInfo가 저장된 상태,1. 로그인 상태에서 앱을 종료한다 2. 앱을 다시 실행해 스플래시 이후 전환되는 화면을 확인한다,"onComplete(true)가 호출되어 로그인 사용자용 메인 화면으로 전환되며, 로그인 화면을 거치지 않는다",정상,P0,,토큰 유효성 값 판단은 데이터파트 연계
FE-SP-008,스플래시,스플래시 화면,자동 로그인 상태 판별,토큰이 없는 비로그인 상태로 실행 시 비로그인 화면으로 전환된다,로컬스토리지에 signInTokenInfo가 없는 상태(로그아웃 또는 최초 설치),1. 비로그인 상태에서 앱을 실행한다 2. 스플래시 이후 전환되는 화면을 확인한다,onComplete(false)가 호출되어 로그인/온보딩 등 비로그인 진입 화면으로 전환된다,정상,P0,,
FE-SP-009,스플래시,스플래시 화면,자동 로그인 상태 판별,만료된 토큰 보유 상태로 실행 시 세션 정보가 제거되고 비로그인 화면으로 전환된다,로컬스토리지에 만료된 signInTokenInfo가 저장된 상태,1. 토큰이 만료된 상태에서 앱을 실행한다 2. 스플래시 이후 전환되는 화면을 확인한다,저장된 토큰·유저정보(signInTokenInfo/signInUserInfo)가 제거되고 onComplete(false)가 호출되어 비로그인 화면으로 전환(재로그인 유도)된다,예외,P0,,만료 시점 판단의 값 정확성은 데이터파트 연계
FE-SP-011,스플래시,스플래시 화면,화면 전환 콜백,스플래시 처리 완료 시 다음 화면 전환이 한 번만 발생한다,앱 실행 가능한 상태,1. 앱을 실행한다 2. 스플래시 종료 시 화면 전환 동작을 관찰한다,"onComplete 콜백이 1회만 호출되어 다음 화면으로 단일 전환되며, 이중 전환·화면 깜빡임이 발생하지 않는다",경계,P1,,
