"ID","대분류","중분류(화면)","소분류(기능)","시나리오","사전조건","테스트절차","기대결과","유형","우선순위","결과","비고"
"FE-ON-001","온보딩·권한","로그인","화면 진입/초기 렌더링","비로그인 상태에서 로그인 화면 진입 및 초기 UI 렌더링","비로그인 상태(토큰 없음)로 앱 실행","1. 앱을 비로그인 상태로 실행한다. 2. 온보딩 로그인 화면 진입을 확인한다.","중앙 로고(slugWithTitle) 이미지와 하단 소셜 로그인 버튼 영역이 정상 표시된다.","정상","P0","",""
"FE-ON-002","온보딩·권한","로그인","로그인 버튼 목록","소셜 로그인 버튼 4종이 정의된 순서대로 노출","로그인 화면 진입","1. 로그인 화면 하단 버튼 영역을 확인한다.","Apple로 로그인 / 구글로 로그인 / 카카오로 로그인 / 네이버로 로그인 버튼이 OauthProvider.allCases 순서(apple→google→kakao→naver)로 4개 모두 노출된다.","정상","P1","",""
"FE-ON-003","온보딩·권한","로그인","버튼 스타일 렌더링","각 소셜 버튼의 아이콘·라벨·배경색 렌더링 확인","로그인 화면 진입","1. 4개 버튼의 아이콘, 텍스트, 배경(검정/흰색+테두리/노랑/초록), 캡슐 형태를 확인한다.","Apple=검정, 구글=흰색+회색 테두리, 카카오=노랑, 네이버=초록 캡슐 버튼으로 각 브랜드 아이콘과 라벨이 정상 표시된다.","정상","P2","",""
"FE-ON-004","온보딩·권한","로그인","Apple 로그인","Apple 로그인 버튼 탭 시 Apple 인증 시트 표시","로그인 화면 진입","1. 'Apple로 로그인' 버튼을 탭한다.","시스템 Apple ID 인증 시트가 표시된다.","정상","P0","",""
"FE-ON-005","온보딩·권한","로그인","Apple 로그인","Apple 인증 성공 시 로딩 표시 후 다음 단계 전환","Apple 인증 시트 표시 상태","1. Apple ID로 인증을 완료한다. 2. 토큰 획득 후 서버 인증 진행을 관찰한다.","서버 인증 동안 전체화면 로딩이 노출되고, 성공 시 onComplete 콜백으로 다음 화면(권한/메인)으로 전환된다.","정상","P0","","서버 인증 응답값 정확성은 데이터파트 연계"
"FE-ON-006","온보딩·권한","로그인","Apple 로그인","Apple 인증 사용자 취소 시 화면 유지","Apple 인증 시트 표시 상태","1. Apple 인증 시트에서 취소(또는 시트 닫기)한다.","에러 알럿과 로딩이 표시되지 않고 로그인 화면이 그대로 유지된다.","예외","P1","","취소코드 1001은 continuation 미resume 처리"
"FE-ON-007","온보딩·권한","로그인","Apple 로그인","Apple identityToken 미수신 시 에러 알럿","로그인 화면 진입","1. Apple 인증은 완료되나 identityToken을 받지 못하는 상황을 만든다.","'에러' 제목의 확인 알럿이 노출되고 확인 시 닫히며 화면이 유지된다.","예외","P1","","noOauthToken 에러 표시 여부"
"FE-ON-008","온보딩·권한","로그인","Google 로그인","구글 로그인 버튼 탭 시 구글 로그인 진행","로그인 화면 진입","1. '구글로 로그인' 버튼을 탭한다.","구글 로그인 화면/시트가 표시된다.","정상","P0","",""
"FE-ON-009","온보딩·권한","로그인","Google 로그인","구글 인증 사용자 취소 시 화면 유지","구글 로그인 화면 표시 상태","1. 구글 로그인을 취소한다.","에러 알럿/로딩 없이 로그인 화면이 그대로 유지된다.","예외","P1","","취소코드 -5는 무시 처리"
"FE-ON-010","온보딩·권한","로그인","Google 로그인","최상위 윈도우 로드 실패 시 에러","로그인 화면 진입","1. presenting 윈도우를 얻지 못하는 비정상 상태에서 구글 로그인을 시도한다.","failToLoadTopWindow 에러 알럿이 노출된다.","예외","P2","",""
"FE-ON-011","온보딩·권한","로그인","Kakao 로그인","카카오톡 설치 여부에 따른 로그인 경로 분기","로그인 화면 진입","1. 카카오톡 설치 단말에서 '카카오로 로그인' 탭. 2. 카카오톡 미설치 단말에서 동일하게 탭.","설치 시 카카오톡 앱으로 전환되어 로그인, 미설치 시 카카오계정 웹 로그인 화면이 표시된다.","정상","P0","",""
"FE-ON-012","온보딩·권한","로그인","Kakao 로그인","카카오톡 앱 전환 후 딥링크로 앱 복귀 시 로그인 처리","카카오톡으로 전환되어 인증 완료","1. 카카오톡에서 인증을 완료한다. 2. 딥링크로 앱에 복귀한다.","앱으로 복귀하며 KakaoSignInHandler가 url을 처리하고 서버 인증이 이어진다.","정상","P1","",""
"FE-ON-013","온보딩·권한","로그인","Kakao 로그인","카카오톡 로그인 취소 시 에러 알럿 노출","카카오톡 로그인 진행 중","1. 카카오톡 로그인 동의 화면에서 취소한다.","카카오톡 경로 취소는 에러로 처리되어 '에러' 알럿이 노출된다(계정 로그인 경로와 동작 불일치 확인).","예외","P2","","kakaoTalkLogin 경로는 취소코드 필터 없음"
"FE-ON-014","온보딩·권한","로그인","Naver 로그인","네이버 로그인 버튼 탭 시 네이버 로그인 진행","로그인 화면 진입","1. '네이버로 로그인' 버튼을 탭한다.","네이버 로그인 화면/앱 전환이 진행된다.","정상","P0","",""
"FE-ON-015","온보딩·권한","로그인","Naver 로그인","네이버 로그인 후 딥링크로 앱 복귀 시 로그인 처리","네이버 인증 완료","1. 네이버에서 인증을 완료한다. 2. 딥링크로 앱에 복귀한다.","NidOAuthHandler가 url을 처리하고 서버 인증이 이어진다.","정상","P1","",""
"FE-ON-016","온보딩·권한","로그인","Naver 로그인","네이버 인증 사용자 취소 시 화면 유지","네이버 로그인 진행 중","1. 네이버 로그인을 취소한다.","에러 알럿/로딩 없이 로그인 화면이 유지된다.","예외","P1","","취소코드 0 무시 처리"
"FE-ON-017","온보딩·권한","로그인","로딩 상태","서버 인증 진행 중 전체화면 로딩 노출 및 종료 후 해제","OAuth 토큰 획득 완료","1. OAuth 인증 성공 후 서버 인증 단계를 관찰한다. 2. 응답(성공/실패)을 확인한다.","서버 인증 동안 로딩 인디케이터가 노출되고, 성공/실패 응답 후 로딩이 사라진다.","정상","P1","",""
"FE-ON-018","온보딩·권한","로그인","로딩 상태","로딩 표시 중 화면 이탈 시 로딩 숨김 처리","서버 인증 로딩 노출 중","1. 로딩 노출 중 화면을 이탈(onDisappear)시킨다.","onDisappear에서 로딩 뷰가 숨겨진다.","경계","P2","",""
"FE-ON-019","온보딩·권한","로그인","에러 처리","네트워크 끊김 상태에서 서버 인증 실패 시 에러 알럿","기내모드/네트워크 차단","1. 네트워크를 차단한다. 2. 소셜 로그인으로 OAuth 인증까지 성공시킨다. 3. 서버 인증 단계로 진입한다.","로딩 해제 후 '에러' 알럿이 노출되고 확인 시 닫히며 로그인 화면이 유지된다.","예외","P1","",""
"FE-ON-020","온보딩·권한","로그인","에러 처리","알 수 없는 에러 발생 시 알럿 노출","로그인 화면 진입","1. MercuryError가 아닌 일반 에러가 발생하는 상황을 만든다.","MercuryError(.unknown)로 변환되어 '에러' 알럿이 노출된다.","예외","P2","",""
"FE-ON-021","온보딩·권한","로그인","에러 처리","서버 인증 지연 시 로딩 장시간 유지 후 응답 반영","네트워크 지연 환경","1. 네트워크 지연 상태에서 로그인을 진행한다.","응답 전까지 로딩이 유지되고 응답 수신 시점에 로딩이 해제된다(무한 로딩 없음).","경계","P2","",""
"FE-ON-022","온보딩·권한","로그인","중복 탭/디바운스","로그인 버튼 빠른 중복 탭 시 중복 인증 방지","로그인 화면 진입","1. 동일 소셜 로그인 버튼을 빠르게 연속 탭한다.","인증 시트/요청이 중복 실행되지 않거나 정상적으로 한 흐름만 진행된다.","경계","P1","",""
"FE-ON-023","온보딩·권한","로그인","중복 탭/디바운스","로딩 중 다른 로그인 버튼 탭 동작","서버 인증 로딩 노출 중","1. 로딩 노출 중 다른 소셜 버튼을 탭한다.","로딩 오버레이로 인해 추가 인증이 차단되거나 충돌 없이 처리된다.","경계","P2","",""
